sampleId	MSI_score	Group
TCGA-55-A491-01	0.3009	MSI-L
TCGA-55-A492-01	0.3293	MSI-L
TCGA-55-A493-01	0.3235	MSI-L
TCGA-55-A494-01	0.3189	MSI-L
TCGA-55-A4DF-01	0.3092	MSI-L
TCGA-55-A4DG-01	0.335	MSI-L
TCGA-55-A57B-01	0.3221	MSI-L
TCGA-62-8394-01	0.3238	MSI-L
TCGA-62-8395-01	0.3261	MSI-L
TCGA-62-8397-01	0.3149	MSI-L
TCGA-62-8398-01	0.3196	MSI-L
TCGA-62-8399-01	0.3201	MSI-L
TCGA-62-8402-01	0.335	MSI-L
TCGA-62-A46O-01	0.3242	MSI-L
TCGA-62-A46P-01	0.3373	MSI-L
TCGA-62-A46R-01	0.3214	MSI-L
TCGA-62-A46S-01	0.3163	MSI-L
TCGA-62-A46U-01	0.3108	MSI-L
TCGA-62-A46V-01	0.326	MSI-L
TCGA-62-A46Y-01	0.3295	MSI-L
TCGA-62-A470-01	0.3313	MSI-L
TCGA-62-A471-01	0.3326	MSI-L
TCGA-62-A472-01	0.3272	MSI-L
TCGA-64-1676-01	0.2746	MSS
TCGA-64-1677-01	0.2728	MSS
TCGA-64-1678-01	0.2919	MSS
TCGA-64-1679-01	0.3127	MSI-L
TCGA-64-1680-01	0.2725	MSS
TCGA-64-1681-01	0.3243	MSI-L
TCGA-64-5774-01	0.3093	MSI-L
TCGA-64-5775-01	0.2952	MSS
TCGA-64-5778-01	0.3135	MSI-L
TCGA-64-5779-01	0.3101	MSI-L
TCGA-64-5781-01	0.2985	MSS
TCGA-64-5815-01	0.2793	MSS
TCGA-67-3770-01	0.2832	MSS
TCGA-67-3771-01	0.3208	MSI-L
TCGA-67-3772-01	0.2699	MSS
TCGA-67-3773-01	0.2811	MSS
TCGA-67-3774-01	0.2771	MSS
TCGA-67-4679-01	0.2885	MSS
TCGA-67-6215-01	0.2956	MSS
TCGA-67-6216-01	0.2921	MSS
TCGA-67-6217-01	0.2965	MSS
TCGA-69-7760-01	0.3473	MSI-L
TCGA-69-7761-01	0.3157	MSI-L
TCGA-69-7763-01	0.3202	MSI-L
TCGA-69-7764-01	0.3472	MSI-L
TCGA-69-7765-01	0.3239	MSI-L
TCGA-69-7973-01	0.3631	MSI-H
TCGA-69-7974-01	0.3588	MSI-H
TCGA-69-7978-01	0.3431	MSI-L
TCGA-69-7979-01	0.351	MSI-H
TCGA-69-7980-01	0.3681	MSI-H
TCGA-69-8253-01	0.3411	MSI-L
TCGA-69-8254-01	0.3148	MSI-L
TCGA-69-8255-01	0.3363	MSI-L
TCGA-69-A59K-01	0.3272	MSI-L
TCGA-71-6725-01	0.3174	MSI-L
TCGA-71-8520-01	0.311	MSI-L
TCGA-73-4658-01	0.3074	MSI-L
TCGA-73-4659-01	0.2919	MSS
TCGA-73-4662-01	0.2984	MSS
TCGA-73-4666-01	0.2944	MSS
TCGA-73-4668-01	0.2789	MSS
TCGA-73-4670-01	0.2934	MSS
TCGA-73-4675-01	0.2958	MSS
TCGA-73-4676-01	0.3162	MSI-L
TCGA-73-4677-01	0.2761	MSS
TCGA-73-7498-01	0.3439	MSI-L
TCGA-73-7499-01	0.3566	MSI-H
TCGA-73-A9RS-01	0.35	MSI-H
TCGA-75-5122-01	0.2898	MSS
TCGA-75-5125-01	0.3003	MSI-L
TCGA-75-5126-01	0.2958	MSS
TCGA-75-5146-01	0.3033	MSI-L
TCGA-75-5147-01	0.2962	MSS
TCGA-75-6203-01	0.2893	MSS
TCGA-75-6205-01	0.2866	MSS
TCGA-75-6206-01	0.2995	MSS
TCGA-75-6207-01	0.2953	MSS
TCGA-75-6211-01	0.2992	MSS
TCGA-75-6212-01	0.2999	MSS
TCGA-75-6214-01	0.2991	MSS
TCGA-75-7025-01	0.296	MSS
TCGA-75-7027-01	0.3008	MSI-L
TCGA-75-7030-01	0.2875	MSS
TCGA-75-7031-01	0.3033	MSI-L
TCGA-78-7145-01	0.296	MSS
TCGA-78-7146-01	0.2965	MSS
TCGA-78-7147-01	0.3081	MSI-L
TCGA-78-7148-01	0.3143	MSI-L
TCGA-78-7149-01	0.3146	MSI-L
TCGA-78-7150-01	0.312	MSI-L
TCGA-78-7152-01	0.3139	MSI-L
TCGA-78-7153-01	0.2986	MSS
TCGA-78-7154-01	0.3163	MSI-L
TCGA-78-7155-01	0.3151	MSI-L
TCGA-78-7156-01	0.2956	MSS
TCGA-78-7158-01	0.3136	MSI-L
TCGA-78-7159-01	0.3248	MSI-L
TCGA-78-7160-01	0.2959	MSS
TCGA-78-7161-01	0.2989	MSS
TCGA-78-7162-01	0.3088	MSI-L
TCGA-78-7163-01	0.3124	MSI-L
TCGA-78-7166-01	0.3093	MSI-L
TCGA-78-7167-01	0.2999	MSS
TCGA-78-7220-01	0.317	MSI-L
TCGA-78-7535-01	0.3105	MSI-L
TCGA-78-7536-01	0.3287	MSI-L
TCGA-78-7537-01	0.2959	MSS
TCGA-78-7539-01	0.3056	MSI-L
TCGA-78-7540-01	0.3011	MSI-L
TCGA-78-7542-01	0.324	MSI-L
TCGA-78-7633-01	0.3017	MSI-L
TCGA-78-8640-01	0.323	MSI-L
TCGA-78-8648-01	0.3313	MSI-L
TCGA-78-8655-01	0.3318	MSI-L
TCGA-78-8660-01	0.3233	MSI-L
TCGA-78-8662-01	0.3528	MSI-H
TCGA-80-5607-01	0.3103	MSI-L
TCGA-80-5608-01	0.2893	MSS
TCGA-80-5611-01	0.2913	MSS
TCGA-83-5908-01	0.3239	MSI-L
TCGA-86-6562-01	0.2982	MSS
TCGA-86-6851-01	0.3143	MSI-L
TCGA-86-7701-01	0.3447	MSI-L
TCGA-86-7711-01	0.3021	MSI-L
TCGA-86-7713-01	0.3155	MSI-L
TCGA-86-7714-01	0.3042	MSI-L
TCGA-86-7953-01	0.3435	MSI-L
TCGA-86-7954-01	0.3267	MSI-L
TCGA-86-7955-01	0.3329	MSI-L
TCGA-86-8054-01	0.3127	MSI-L
TCGA-86-8055-01	0.3385	MSI-L
TCGA-86-8056-01	0.3353	MSI-L
TCGA-86-8073-01	0.3277	MSI-L
TCGA-86-8074-01	0.3273	MSI-L
TCGA-86-8075-01	0.2979	MSS
TCGA-86-8076-01	0.3188	MSI-L
TCGA-86-8278-01	0.3248	MSI-L
TCGA-86-8279-01	0.341	MSI-L
TCGA-86-8280-01	0.3218	MSI-L
TCGA-86-8281-01	0.3249	MSI-L
TCGA-86-8358-01	0.3391	MSI-L
TCGA-86-8359-01	0.3167	MSI-L
TCGA-86-8585-01	0.3245	MSI-L
TCGA-86-8668-01	0.3259	MSI-L
TCGA-86-8669-01	0.3342	MSI-L
TCGA-86-8671-01	0.3378	MSI-L
TCGA-86-8672-01	0.3472	MSI-L
TCGA-86-8673-01	0.3382	MSI-L
TCGA-86-8674-01	0.334	MSI-L
TCGA-86-A456-01	0.3277	MSI-L
TCGA-86-A4D0-01	0.3385	MSI-L
TCGA-86-A4JF-01	0.5047	MSI-H
TCGA-86-A4P7-01	0.3312	MSI-L
