ID	Cindex	Model
GSE3141	0.589108910891089	StepCox[both] + SuperPC
GSE30219	0.636637168141593	StepCox[both] + SuperPC
GSE31210	0.596048827497591	StepCox[both] + SuperPC
GSE41271	0.594491302055878	StepCox[both] + SuperPC
GSE50081	0.607126948775056	StepCox[both] + SuperPC
TCGA	0.629335137878532	StepCox[both] + survival-SVM
GSE3141	0.579207920792079	StepCox[both] + survival-SVM
GSE30219	0.666017699115044	StepCox[both] + survival-SVM
GSE31210	0.584323803405076	StepCox[both] + survival-SVM
GSE41271	0.645229309435951	StepCox[both] + survival-SVM
GSE50081	0.617817371937639	StepCox[both] + survival-SVM
TCGA	0.680510911859246	StepCox[backward] + CoxBoost
GSE3141	0.613036303630363	StepCox[backward] + CoxBoost
GSE30219	0.656991150442478	StepCox[backward] + CoxBoost
GSE31210	0.633151300995824	StepCox[backward] + CoxBoost
GSE41271	0.607801792303637	StepCox[backward] + CoxBoost
GSE50081	0.650556792873051	StepCox[backward] + CoxBoost
TCGA	0.68070123498562	StepCox[backward] + Enet[α=0.1]
GSE3141	0.60973597359736	StepCox[backward] + Enet[α=0.1]
GSE30219	0.66	StepCox[backward] + Enet[α=0.1]
GSE31210	0.633633151300996	StepCox[backward] + Enet[α=0.1]
GSE41271	0.620848708487085	StepCox[backward] + Enet[α=0.1]
GSE50081	0.648775055679287	StepCox[backward] + Enet[α=0.1]
TCGA	0.68095499915412	StepCox[backward] + Enet[α=0.2]
GSE3141	0.613861386138614	StepCox[backward] + Enet[α=0.2]
GSE30219	0.65929203539823	StepCox[backward] + Enet[α=0.2]
GSE31210	0.633472534532605	StepCox[backward] + Enet[α=0.2]
GSE41271	0.615840801265156	StepCox[backward] + Enet[α=0.2]
GSE50081	0.651002227171492	StepCox[backward] + Enet[α=0.2]
TCGA	0.68070123498562	StepCox[backward] + Enet[α=0.3]
GSE3141	0.612211221122112	StepCox[backward] + Enet[α=0.3]
GSE30219	0.658761061946903	StepCox[backward] + Enet[α=0.3]
GSE31210	0.63218760038548	StepCox[backward] + Enet[α=0.3]
GSE41271	0.613732208750659	StepCox[backward] + Enet[α=0.3]
GSE50081	0.651002227171492	StepCox[backward] + Enet[α=0.3]
TCGA	0.680658940957537	StepCox[backward] + Enet[α=0.4]
GSE3141	0.614686468646865	StepCox[backward] + Enet[α=0.4]
GSE30219	0.658230088495575	StepCox[backward] + Enet[α=0.4]
GSE31210	0.632348217153871	StepCox[backward] + Enet[α=0.4]
GSE41271	0.613205060622035	StepCox[backward] + Enet[α=0.4]
GSE50081	0.64988864142539	StepCox[backward] + Enet[α=0.4]
TCGA	0.68082811706987	StepCox[backward] + Enet[α=0.5]
GSE3141	0.613036303630363	StepCox[backward] + Enet[α=0.5]
GSE30219	0.656814159292035	StepCox[backward] + Enet[α=0.5]
GSE31210	0.632348217153871	StepCox[backward] + Enet[α=0.5]
GSE41271	0.611623616236162	StepCox[backward] + Enet[α=0.5]
GSE50081	0.65011135857461	StepCox[backward] + Enet[α=0.5]
TCGA	0.681018440196244	StepCox[backward] + Enet[α=0.6]
GSE3141	0.613036303630363	StepCox[backward] + Enet[α=0.6]
GSE30219	0.656637168141593	StepCox[backward] + Enet[α=0.6]
GSE31210	0.632508833922262	StepCox[backward] + Enet[α=0.6]
GSE41271	0.61136004217185	StepCox[backward] + Enet[α=0.6]
GSE50081	0.649665924276169	StepCox[backward] + Enet[α=0.6]
TCGA	0.680912705126036	StepCox[backward] + Enet[α=0.7]
GSE3141	0.613036303630363	StepCox[backward] + Enet[α=0.7]
GSE30219	0.656814159292035	StepCox[backward] + Enet[α=0.7]
GSE31210	0.632669450690652	StepCox[backward] + Enet[α=0.7]
GSE41271	0.61004217185029	StepCox[backward] + Enet[α=0.7]
GSE50081	0.64988864142539	StepCox[backward] + Enet[α=0.7]
TCGA	0.680785823041786	StepCox[backward] + Enet[α=0.8]
GSE3141	0.613036303630363	StepCox[backward] + Enet[α=0.8]
GSE30219	0.656637168141593	StepCox[backward] + Enet[α=0.8]
GSE31210	0.632508833922262	StepCox[backward] + Enet[α=0.8]
GSE41271	0.609778597785978	StepCox[backward] + Enet[α=0.8]
GSE50081	0.64988864142539	StepCox[backward] + Enet[α=0.8]
TCGA	0.680912705126036	StepCox[backward] + Enet[α=0.9]
GSE3141	0.612211221122112	StepCox[backward] + Enet[α=0.9]
GSE30219	0.656814159292035	StepCox[backward] + Enet[α=0.9]
GSE31210	0.632348217153871	StepCox[backward] + Enet[α=0.9]
GSE41271	0.609646810753822	StepCox[backward] + Enet[α=0.9]
GSE50081	0.64988864142539	StepCox[backward] + Enet[α=0.9]
TCGA	0.795021992894603	StepCox[backward] + GBM
GSE3141	0.490924092409241	StepCox[backward] + GBM
GSE30219	0.614513274336283	StepCox[backward] + GBM
GSE31210	0.572277545775779	StepCox[backward] + GBM
GSE41271	0.600289931470743	StepCox[backward] + GBM
GSE50081	0.548775055679287	StepCox[backward] + GBM
TCGA	0.680532058873287	StepCox[backward] + Lasso
GSE3141	0.612211221122112	StepCox[backward] + Lasso
GSE30219	0.656814159292035	StepCox[backward] + Lasso
GSE31210	0.633633151300996	StepCox[backward] + Lasso
GSE41271	0.607538218239325	StepCox[backward] + Lasso
GSE50081	0.65011135857461	StepCox[backward] + Lasso
TCGA	0.68017255963458	StepCox[backward] + plsRcox
GSE3141	0.613036303630363	StepCox[backward] + plsRcox
GSE30219	0.655044247787611	StepCox[backward] + plsRcox
GSE31210	0.635239318984902	StepCox[backward] + plsRcox
GSE41271	0.605824986821297	StepCox[backward] + plsRcox
GSE50081	0.650779510022272	StepCox[backward] + plsRcox
TCGA	0.680553205887329	StepCox[backward] + Ridge
GSE3141	0.611386138613861	StepCox[backward] + Ridge
GSE30219	0.66353982300885	StepCox[backward] + Ridge
GSE31210	0.632669450690652	StepCox[backward] + Ridge
GSE41271	0.626515550869794	StepCox[backward] + Ridge
GSE50081	0.6456570155902	StepCox[backward] + Ridge
TCGA	0.933006259516156	StepCox[backward] + RSF
GSE3141	0.551155115511551	StepCox[backward] + RSF
GSE30219	0.503716814159292	StepCox[backward] + RSF
GSE31210	0.526180533247671	StepCox[backward] + RSF
GSE41271	0.52029520295203	StepCox[backward] + RSF
GSE50081	0.615144766146993	StepCox[backward] + RSF
TCGA	0.592370157333785	StepCox[backward] + SuperPC
GSE3141	0.589108910891089	StepCox[backward] + SuperPC
GSE30219	0.636637168141593	StepCox[backward] + SuperPC
GSE31210	0.596048827497591	StepCox[backward] + SuperPC
GSE41271	0.594491302055878	StepCox[backward] + SuperPC
GSE50081	0.607126948775056	StepCox[backward] + SuperPC
TCGA	0.629335137878532	StepCox[backward] + survival-SVM
GSE3141	0.579207920792079	StepCox[backward] + survival-SVM
GSE30219	0.666017699115044	StepCox[backward] + survival-SVM
GSE31210	0.584323803405076	StepCox[backward] + survival-SVM
GSE41271	0.645229309435951	StepCox[backward] + survival-SVM
GSE50081	0.617817371937639	StepCox[backward] + survival-SVM
TCGA	0.683852140077821	StepCox[forward] + CoxBoost
GSE3141	0.618811881188119	StepCox[forward] + CoxBoost
GSE30219	0.684424778761062	StepCox[forward] + CoxBoost
GSE31210	0.636203019595246	StepCox[forward] + CoxBoost
GSE41271	0.656694781233527	StepCox[forward] + CoxBoost
GSE50081	0.626726057906459	StepCox[forward] + CoxBoost
TCGA	0.68345034681103	StepCox[forward] + Enet[α=0.1]
GSE3141	0.623762376237624	StepCox[forward] + Enet[α=0.1]
GSE30219	0.694159292035398	StepCox[forward] + Enet[α=0.1]
GSE31210	0.657886283327979	StepCox[forward] + Enet[α=0.1]
GSE41271	0.669346336320506	StepCox[forward] + Enet[α=0.1]
GSE50081	0.630289532293987	StepCox[forward] + Enet[α=0.1]
TCGA	0.684719167653527	StepCox[forward] + Enet[α=0.2]
GSE3141	0.622112211221122	StepCox[forward] + Enet[α=0.2]
GSE30219	0.692566371681416	StepCox[forward] + Enet[α=0.2]
GSE31210	0.645679408930292	StepCox[forward] + Enet[α=0.2]
GSE41271	0.66723774380601	StepCox[forward] + Enet[α=0.2]
GSE50081	0.623385300668151	StepCox[forward] + Enet[α=0.2]
TCGA	0.685311284046693	StepCox[forward] + Enet[α=0.3]
GSE3141	0.616336633663366	StepCox[forward] + Enet[α=0.3]
GSE30219	0.691327433628319	StepCox[forward] + Enet[α=0.3]
GSE31210	0.642145840025699	StepCox[forward] + Enet[α=0.3]
GSE41271	0.667764891934634	StepCox[forward] + Enet[α=0.3]
GSE50081	0.623162583518931	StepCox[forward] + Enet[α=0.3]
TCGA	0.685120960920318	StepCox[forward] + Enet[α=0.4]
GSE3141	0.612211221122112	StepCox[forward] + Enet[α=0.4]
GSE30219	0.689557522123894	StepCox[forward] + Enet[α=0.4]
GSE31210	0.640860905878574	StepCox[forward] + Enet[α=0.4]
GSE41271	0.667501317870322	StepCox[forward] + Enet[α=0.4]
GSE50081	0.620267260579065	StepCox[forward] + Enet[α=0.4]
TCGA	0.685374725088817	StepCox[forward] + Enet[α=0.5]
GSE3141	0.60973597359736	StepCox[forward] + Enet[α=0.5]
GSE30219	0.689203539823009	StepCox[forward] + Enet[α=0.5]
GSE31210	0.638933504657886	StepCox[forward] + Enet[α=0.5]
GSE41271	0.66723774380601	StepCox[forward] + Enet[α=0.5]
GSE50081	0.619376391982183	StepCox[forward] + Enet[α=0.5]
TCGA	0.685332431060734	StepCox[forward] + Enet[α=0.6]
GSE3141	0.60973597359736	StepCox[forward] + Enet[α=0.6]
GSE30219	0.689203539823009	StepCox[forward] + Enet[α=0.6]
GSE31210	0.637969804047543	StepCox[forward] + Enet[α=0.6]
GSE41271	0.666842382709541	StepCox[forward] + Enet[α=0.6]
GSE50081	0.618930957683742	StepCox[forward] + Enet[α=0.6]
TCGA	0.685353578074776	StepCox[forward] + Enet[α=0.7]
GSE3141	0.60973597359736	StepCox[forward] + Enet[α=0.7]
GSE30219	0.688318584070796	StepCox[forward] + Enet[α=0.7]
GSE31210	0.63732733697398	StepCox[forward] + Enet[α=0.7]
GSE41271	0.666447021613073	StepCox[forward] + Enet[α=0.7]
GSE50081	0.617817371937639	StepCox[forward] + Enet[α=0.7]
TCGA	0.685353578074776	StepCox[forward] + Enet[α=0.8]
GSE3141	0.608910891089109	StepCox[forward] + Enet[α=0.8]
GSE30219	0.687610619469027	StepCox[forward] + Enet[α=0.8]
GSE31210	0.636684869900418	StepCox[forward] + Enet[α=0.8]
GSE41271	0.666183447548761	StepCox[forward] + Enet[α=0.8]
GSE50081	0.616926503340757	StepCox[forward] + Enet[α=0.8]
TCGA	0.68514210793436	StepCox[forward] + Enet[α=0.9]
GSE3141	0.608910891089109	StepCox[forward] + Enet[α=0.9]
GSE30219	0.687610619469027	StepCox[forward] + Enet[α=0.9]
GSE31210	0.636203019595246	StepCox[forward] + Enet[α=0.9]
GSE41271	0.666710595677385	StepCox[forward] + Enet[α=0.9]
GSE50081	0.617371937639198	StepCox[forward] + Enet[α=0.9]
TCGA	0.78504060226696	StepCox[forward] + GBM
GSE3141	0.570957095709571	StepCox[forward] + GBM
GSE30219	0.684070796460177	StepCox[forward] + GBM
GSE31210	0.576292964985544	StepCox[forward] + GBM
GSE41271	0.602793885081708	StepCox[forward] + GBM
GSE50081	0.670824053452116	StepCox[forward] + GBM
TCGA	0.685522754187109	StepCox[forward] + Lasso
GSE3141	0.613861386138614	StepCox[forward] + Lasso
GSE30219	0.687433628318584	StepCox[forward] + Lasso
GSE31210	0.63459685191134	StepCox[forward] + Lasso
GSE41271	0.663811280969953	StepCox[forward] + Lasso
GSE50081	0.616258351893096	StepCox[forward] + Lasso
TCGA	0.685184401962443	StepCox[forward] + plsRcox
GSE3141	0.63036303630363	StepCox[forward] + plsRcox
GSE30219	0.667610619469027	StepCox[forward] + plsRcox
GSE31210	0.650819145518792	StepCox[forward] + plsRcox
GSE41271	0.630864522930944	StepCox[forward] + plsRcox
GSE50081	0.667706013363029	StepCox[forward] + plsRcox
TCGA	0.678628827609542	StepCox[forward] + Ridge
GSE3141	0.637788778877888	StepCox[forward] + Ridge
GSE30219	0.701769911504425	StepCox[forward] + Ridge
GSE31210	0.671859942177963	StepCox[forward] + Ridge
GSE41271	0.669478123352662	StepCox[forward] + Ridge
GSE50081	0.638530066815145	StepCox[forward] + Ridge
TCGA	0.939138893588225	StepCox[forward] + RSF
GSE3141	0.551155115511551	StepCox[forward] + RSF
GSE30219	0.658938053097345	StepCox[forward] + RSF
GSE31210	0.570992611628654	StepCox[forward] + RSF
GSE41271	0.58144438587243	StepCox[forward] + RSF
