Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
TCGA-MP-A5C7-01A-11D-A25L-08	49	1.289473684	0.110412483
TCGA-17-Z007-01A-01W-0746-08	50	1.315789474	0.119186408
TCGA-17-Z013-01A-01W-0746-08	50	1.315789474	0.119186408
TCGA-44-6775-01A-11D-1855-08	50	1.315789474	0.119186408
TCGA-44-6775-01A-31D-A27T-08	50	1.315789474	0.119186408
TCGA-86-8076-01A-31D-2238-08	50	1.315789474	0.119186408
TCGA-69-7763-01A-11D-2167-08	51	1.342105263	0.127786579
TCGA-91-6847-01A-11D-1945-08	51	1.342105263	0.127786579
TCGA-86-A4P7-01A-11D-A24P-08	52	1.368421053	0.136219747
TCGA-49-AAQV-01A-11D-A397-08	54	1.421052632	0.152610163
TCGA-69-7760-01A-11D-2167-08	54	1.421052632	0.152610163
TCGA-73-7499-01A-11D-2184-08	54	1.421052632	0.152610163
TCGA-91-6835-01A-11D-1855-08	55	1.447368421	0.160579093
TCGA-64-1681-01A-11D-2063-08	56	1.473684211	0.16840443
TCGA-44-A47G-01A-21D-A24D-08	57	1.5	0.176091259
TCGA-73-4675-01A-01D-1265-08	57	1.5	0.176091259
TCGA-J2-8192-01A-11D-2238-08	57	1.5	0.176091259
TCGA-MP-A4T6-01A-32D-A25L-08	57	1.5	0.176091259
TCGA-93-A4JN-01A-11D-A24P-08	58	1.526315789	0.183644397
TCGA-MP-A4TD-01A-32D-A25L-08	58	1.526315789	0.183644397
TCGA-50-5939-01A-11D-1625-08	59	1.552631579	0.191068415
TCGA-55-6975-01A-11D-1945-08	60	1.578947368	0.198367654
TCGA-86-8074-01A-11D-2238-08	60	1.578947368	0.198367654
TCGA-17-Z058-01A-01W-0747-08	61	1.605263158	0.205546238
TCGA-62-8395-01A-11D-2323-08	61	1.605263158	0.205546238
TCGA-J2-A4AG-01A-11D-A24D-08	61	1.605263158	0.205546238
TCGA-05-5420-01A-01D-1625-08	62	1.631578947	0.212608093
