Sample	gene	value	Risk_score	Risk_score_LH
TCGA-05-4384-01	CD274	5.0608	2.70978028340333	Low
TCGA-05-4384-01	CD276	10.6971	2.70978028340333	Low
TCGA-05-4384-01	PDCD1	4.523	2.70978028340333	Low
TCGA-05-4384-01	CD48	7.5399	2.70978028340333	Low
TCGA-05-4384-01	CD44	13.1028	2.70978028340333	Low
TCGA-05-4384-01	ICOSLG	7.6405	2.70978028340333	Low
TCGA-05-4384-01	IDO1	5.838	2.70978028340333	Low
TCGA-05-4384-01	CD28	6.7289	2.70978028340333	Low
TCGA-05-4384-01	TNFRSF4	6.571	2.70978028340333	Low
TCGA-05-4384-01	NRP1	11.7177	2.70978028340333	Low
TCGA-05-4384-01	TNFRSF14	10.2634	2.70978028340333	Low
TCGA-05-4384-01	TMIGD2	0	2.70978028340333	Low
TCGA-05-4384-01	PDCD1LG2	6.1172	2.70978028340333	Low
TCGA-05-4384-01	TNFRSF18	5.4516	2.70978028340333	Low
TCGA-05-4384-01	TNFSF4	4.703	2.70978028340333	Low
TCGA-05-4384-01	CD80	4.8323	2.70978028340333	Low
TCGA-05-4384-01	CD86	8.4069	2.70978028340333	Low
TCGA-05-4384-01	TNFSF9	6.3937	2.70978028340333	Low
TCGA-05-4384-01	TNFRSF25	6.0523	2.70978028340333	Low
TCGA-05-4384-01	ADORA2A	7.5399	2.70978028340333	Low
TCGA-05-4384-01	CD70	4.1288	2.70978028340333	Low
TCGA-05-4384-01	CD160	3.2558	2.70978028340333	Low
TCGA-05-4384-01	LAIR1	9.6406	2.70978028340333	Low
TCGA-05-4384-01	CD200	7.2756	2.70978028340333	Low
TCGA-05-4384-01	HAVCR2	8.86	2.70978028340333	Low
TCGA-05-4384-01	TNFRSF9	3.3453	2.70978028340333	Low
TCGA-05-4384-01	BTNL2	0	2.70978028340333	Low
TCGA-05-4384-01	TNFRSF8	4.703	2.70978028340333	Low
TCGA-05-4389-01	LGALS9	11.196	2.64832238979491	Low
TCGA-05-4389-01	CD200R1	6.2575	2.64832238979491	Low
TCGA-05-4389-01	LAG3	8.0208	2.64832238979491	Low
TCGA-05-4389-01	ICOS	7.2888	2.64832238979491	Low
TCGA-05-4389-01	TNFSF15	6.3375	2.64832238979491	Low
TCGA-05-4389-01	TIGIT	7.232	2.64832238979491	Low
TCGA-05-4389-01	TNFSF14	4.179	2.64832238979491	Low
TCGA-05-4389-01	CTLA4	7.0503	2.64832238979491	Low
TCGA-05-4389-01	CD274	6.71	2.64832238979491	Low
TCGA-05-4389-01	CD276	10.9502	2.64832238979491	Low
TCGA-05-4389-01	PDCD1	6.9945	2.64832238979491	Low
TCGA-05-4389-01	CD48	9.62	2.64832238979491	Low
TCGA-05-4389-01	CD44	11.8809	2.64832238979491	Low
TCGA-05-4389-01	ICOSLG	7.6702	2.64832238979491	Low
TCGA-05-4389-01	IDO1	10.4328	2.64832238979491	Low
TCGA-05-4389-01	CD28	6.9205	2.64832238979491	Low
TCGA-05-4389-01	TNFRSF4	7.4663	2.64832238979491	Low
TCGA-05-4389-01	NRP1	10.1846	2.64832238979491	Low
TCGA-05-4389-01	TNFRSF14	10.3096	2.64832238979491	Low
TCGA-05-4389-01	TMIGD2	3.4682	2.64832238979491	Low
TCGA-05-4389-01	PDCD1LG2	7.5014	2.64832238979491	Low
